Speedup Metric,Average,Median,Max,Min,Valid Samples
no_cache/symbol_only,1.0868830602423112,1.0823602322395458,1.3157692127259732,0.9631379962192816,79
no_cache/symbol_loop,1.1288404336631455,1.0687590336568242,3.328193575069497,0.9777131050469928,79
no_cache/symbol_loop_grid,1.7786794007977087,1.7749348815091877,3.433113245586245,1.123790637414828,79
no_cache/all_cache,2.625476016776781,1.8034775763469242,30.709274752807485,1.1995212616164461,79
